Model,MAE,RMSE,R2,MAPE
Random Forest,5104.9693665696805,10736.48626795691,0.9301058883109561,8.834684716167708
XGBoost,5876.687654252613,12366.093320461736,0.9072783219344971,10.283311197269255
Decision Tree,6603.5941913874885,13342.58391891092,0.8920565909640467,11.736712863821404
k-NN (k=5),5735.749901960785,14248.002528446148,0.8769095921336483,9.653492964331795
Neural Network,11901.262349734265,22897.784910600938,0.6820907337024815,22.031520731173067
Linear Regression,17756.492447768338,26627.621003999448,0.570086604287422,41.75150554247949
SVM (RBF),25726.24222040762,41699.25926985852,-0.05432116409377019,54.80010357596411
