Model,MAE,RMSE,R2
Linear Regression,17407.661103722192,26699.71775328656,0.5677553919194513
Decision Tree,6679.978324203949,14239.49193652477,0.877056596510113
k-NN (k=5),5644.052941176471,13843.542752880257,0.8837987670254284
