Preprocessing,MAE,RMSE,R2
Raw Data,5876.687654252613,12366.093320461736,0.9072783219344971
Missing Value Imputation,5876.687654252613,12366.093320461736,0.9072783219344971
+ One-Hot Encoding,5876.687654252613,12366.093320461736,0.9072783219344971
+ Feature Scaling,5876.687654252613,12366.093320461736,0.9072783219344971
+ Outlier Removal,6805.771044443168,20774.48110551065,0.7383163349700316
